Rank, Country, Overall, Female, Male
1, Japan,84.5,87.5,81.1
2, Hong Kong,84.1,87.0,81.2
3, Singapore,83.8,85.8,81.5
4, Italy,83.6,85.5,81.7
5, Spain,83.4,86.1,80.7
6,  Switzerland,83.4,85.3,81.1
7, Australia,83.3,85.3,81.3
8, Iceland,82.9,84.4,81.3
9, Israel,82.8,84.4,81.1
10, South Korea,82.8,85.8,79.7
11, Sweden,82.7,84.4,80.9
12, France,82.5,85.4,79.6
13, Malta,82.4,84.1,80.5
14, Canada,82.3,84.3,80.3
15, Norway,82.3,84.3,80.3
16, Greece,82.1,84.5,79.6
17, Ireland,82.1,83.7,80.4
18, Luxembourg,82.1,84.2,80.0
19, Netherlands,82.1,83.8,80.4
20, New Zealand,82.1,83.9,80.4
21, Portugal,81.9,84.7,78.8
22, Andorra,81.8,,
